timestamp,account_id,client_id,channel,eventtype,locationid,treatmentid
2017-12-13T09:31:21,A00000001,C00000001,Call,Offered,Center2,Deposit_Call_2
2016-06-12T10:38:42,A00000002,C00000002,Call,Lead,Center4,Deposit_Call_2
2016-08-05T11:17:28,A00000002,C00000003,Call,Lead,Center2,Deposit_Call_2
2015-03-12T13:16:14,A00000002,C00000003,Call,Offered,Center3,AutoLoan_Call_2
2015-08-12T13:26:17,A00000002,C00000003,Call,Offered,Center1,HomeLoan_Call_2
2016-02-29T16:56:02,A00000002,C00000003,Call,Offered,Center3,Credit_Call_2
2016-04-26T12:23:52,A00000002,C00000003,Call,Offered,Center4,Credit_Call_1
2016-06-12T10:29:42,A00000002,C00000003,Call,Offered,Center4,Deposit_Call_2
2016-08-05T11:06:28,A00000002,C00000003,Call,Offered,Center2,Deposit_Call_2
2016-10-22T16:03:53,A00000002,C00000003,Call,Offered,Center2,HomeLoan_Call_1
2017-01-01T08:46:37,A00000002,C00000003,Call,Offered,Center3,AutoLoan_Call_1
2017-08-14T15:31:04,A00000002,C00000003,Call,Offered,Center3,AutoLoan_Call_1
2018-03-05T16:04:19,A00000002,C00000003,Call,Offered,Center3,Deposit_Call_1
2018-05-05T10:03:34,A00000002,C00000003,Call,Offered,Center3,AutoLoan_Call_2
2018-08-29T11:01:51,A00000002,C00000003,Call,Offered,Center3,Deposit_Call_2
2018-11-16T09:01:42,A00000002,C00000003,Call,Offered,Center3,HomeLoan_Call_1
2016-06-12T10:34:42,A00000002,C00000003,Call,Considering,Center4,Deposit_Call_2
2016-08-05T11:15:28,A00000002,C00000003,Call,Considering,Center2,Deposit_Call_2
2018-08-29T11:04:51,A00000002,C00000003,Call,Considering,Center3,Deposit_Call_2
2018-01-31T09:09:60,A00000003,C00000004,Call,Lead,Center3,Deposit_Call_2
2018-01-31T09:01:60,A00000003,C00000005,Call,Offered,Center3,Deposit_Call_2
2018-02-28T14:41:36,A00000003,C00000005,Call,Offered,Center4,HomeLoan_Call_2
2018-01-31T09:05:60,A00000003,C00000005,Call,Considering,Center3,Deposit_Call_2
2018-02-13T08:21:57,A00000004,C00000006,Call,Conversion,Center3,AutoLoan_Call_2
2018-02-11T08:21:57,A00000004,C00000006,Call,Lead,Center3,AutoLoan_Call_2
2016-08-31T16:24:40,A00000004,C00000006,Call,Offered,Center2,Deposit_Call_1
2018-02-11T08:08:57,A00000004,C00000006,Call,Offered,Center3,AutoLoan_Call_2
2018-02-11T08:17:57,A00000004,C00000006,Call,Considering,Center3,AutoLoan_Call_2
2017-12-31T08:50:40,A00000005,C00000007,Call,Lead,Center2,Credit_Call_1
2017-12-31T08:41:40,A00000005,C00000007,Call,Offered,Center2,Credit_Call_1
2017-12-31T08:46:40,A00000005,C00000007,Call,Considering,Center2,Credit_Call_1
2016-01-20T08:20:52,A00000006,C00000008,Call,Lead,Center1,Credit_Call_2
2015-11-11T10:13:04,A00000006,C00000008,Call,Offered,Center5,Deposit_Call_2
2015-12-11T09:26:42,A00000006,C00000008,Call,Offered,Center1,HomeLoan_Call_1
2016-01-20T08:09:52,A00000006,C00000008,Call,Offered,Center1,Credit_Call_2
2016-06-11T08:09:48,A00000006,C00000008,Call,Offered,Center4,Credit_Call_1
2016-09-30T13:00:03,A00000006,C00000008,Call,Offered,Center1,Credit_Call_1
2017-08-11T11:57:12,A00000006,C00000008,Call,Offered,Center3,Deposit_Call_1
2018-01-23T10:41:18,A00000006,C00000008,Call,Offered,Center1,Credit_Call_2
2016-01-20T08:16:52,A00000006,C00000008,Call,Considering,Center1,Credit_Call_2
2018-01-23T10:46:18,A00000006,C00000008,Call,Considering,Center1,Credit_Call_2
2016-12-27T10:15:14,A00000007,C00000009,Call,Conversion,Center2,AutoLoan_Call_1
2016-12-24T10:15:14,A00000007,C00000009,Call,Lead,Center2,AutoLoan_Call_1
2016-12-24T10:05:14,A00000007,C00000009,Call,Offered,Center2,AutoLoan_Call_1
2016-12-24T10:13:14,A00000007,C00000009,Call,Considering,Center2,AutoLoan_Call_1
